number,title,url,created_at,user,state,name,rank,no_species,description,status
102,Recognition of Parrisia [PASSED],https://github.com/pteridogroup/ppg/issues/102,2025-06-09T10:56:26Z,msundue,closed,Parrisia,Genus,2,"We propose recognition of _Parrisia,_ a genus of two species previously though to be related to _Enterosora_ based upon the presence of spongiose mesophyll. This trait has been shown to evolve multiple times within Grammitidoideae. _Parrisia_ Shalisko & Sundue was established (in Phytotaxa 394: 187–188. 2019) based on the type _Parrisia parietina_ (Klotzsch) Shalisko & Sundue (≡ _Polypodium parietinum_ Klotzsch in Linnaea 20: 373. 1847). It includes a second species, _Parrisia gilpinae_ (Baker) Shalisko & Sundue.",PASSED
101,Elevating the subfamilies of Pteridaceae to family level [NOT PASSED],https://github.com/pteridogroup/ppg/issues/101,2025-05-30T09:07:27Z,MichaelKessler979,closed,Pteridaceae,Family,"about 1000 species would change family, but no names would change at species level",Splitting of Pteridaceae into 6 families:,NOT PASSED
99,Recognition of Onychioideae (Pteridaceae) [NOT PASSED],https://github.com/pteridogroup/ppg/issues/99,2025-05-24T01:38:24Z,vaganovav,closed,Onychioideae (Pteridaceae),Subfamily,16,"A revision of phylogenetic relationships of Onychium and Actiniopteris in the family Pteridaceae was conducted. Molecular genetic, micro-morphological (spore) and macromorphological (structure of fronds, sori, etc.) analyses of the taxa studied confirmed distinctness of new subfamily Onychioideae.",NOT PASSED
98,Ynesmexia: A novel genus uniting morphologically disparate cheilanthoid ferns (Pteridaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/98,2025-05-12T21:30:12Z,bfauskee,closed,Ynesmexia,Genus,5,"Based on phylogenetic analyses, we propose the recognition of a novel cheilanthoid fern genus: _Ynesmexia_. _Ynesmexia_ contains five species: _Y_. _skinneri_, _Y_. _fournieri_, _Y_. _subcordata_, _Y_. x _gryphus_, and _Y_. _seemannii_.",PASSED
97,A phylogenetically informed generic reclassification of the hemionitid ferns [PASSED],https://github.com/pteridogroup/ppg/issues/97,2025-04-30T11:26:17Z,schuettpelze,closed,"Relevant genera recognized in PPG I (15): Adiantopsis, Aleuritopteris, Allosorus, Aspidotis, Cheilanthes, Doryopteris, Gaga, Hemionitis, Lytoneuron, Mildella, Ormopteris, Parahemionitis, Pellaea, Pentagramma, Trachypteris. Genera recognized in proposal (22): Adiantopsis, Aleuritopteris, Anthonya, Aspidotis, Brasiliopteris, Carlottahallia, Cheilanthes, Christenhuszia, Choristosoria, Doryopteris, Estrella, Gaga, Hemionitis, Lytoneuron, Mineirella, Namaquapteris, Ormopteris, Parahemionitis, Pellaeopsis, Pentagramma, Quechuapteris, and Trachypteris",Genus,350 total species in the hemionitid clade (106 new species-level combinations made),"Based on our phylogenetic analyses and morphological investigations, we propose the recognition of 22 monophyletic hemionitid genera (_Adiantopsis_, _Aleuritopteris_, _Anthonya_, _Aspidotis_, _Brasiliopteris_, _Carlottahallia_, _Cheilanthes_, _Christenhuszia_, _Choristosoria_, _Doryopteris_, _Estrella_, _Gaga_, _Hemionitis_, _Lytoneuron_, _Mineirella_, _Namaquapteris_, _Ormopteris_, _Parahemionitis_, _Pellaeopsis_, _Pentagramma_, _Quechuapteris_, and _Trachypteris_). Nine generic circumscriptions (_Adiantopsis_, _Aspidotis_, _Gaga_, _Hemionitis_, _Lytoneuron_, _Mineirella_, _Ormopteris_, _Pentagramma_, and _Trachypteris_) are congruent with those of recent well-sampled molecular phylogenetic studies. Two genera (_Aleuritopteris_ and _Parahemionitis_) are expanded relative to previous studies, while two (_Cheilanthes_ and _Doryopteris_) are much more narrowly defined. Two long synonymized generic names (_Choristosoria_ and _Pellaeopsis_) are resurrected, and seven new genera (_Anthonya_, _Brasiliopteris_, _Carlottahallia_, _Christenhuszia_, _Estrella_, _Namaquapteris_, and _Quechuapteris_), are described to accommodate divergent clades. In all, 106 new species-level (plus 9 subspecific) combinations are made.",PASSED
95,Treatment of Atalopteris as a synonym of Ctenitis (Dryopteridaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/95,2024-12-05T12:23:22Z,LRegaladoG,closed,"Atalopteris, Ctenitis",Genus,3,"Among the dryopteroid ferns, the genus _Atalopteris_ Maxon & C. Chr. is endemic to the Greater Antilles (except Puerto Rico) and comprises three species. It was not included in PPG I. A recent molecular phylogenetic study using three chloroplast markers showed that _Atalopteris_ is phylogenetically nested within _Ctenitis_ (C. Chr.) C. Chr., a relationship that is strongly supported. Morphological characters also support this change.",PASSED
94,Recognition of Pseudarachniodes (Dryopteridaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/94,2024-10-17T15:27:04Z,zzyzzyzyhc,closed,Pseudarachniodes,Genus,1,"_Arachniodes bella_, previously classified within _Dryopteris_ or _Polystichopsis_, is proposed as a distinct clade with unique morphological characteristics within Dryopteridaceae. We introduce it as the new genus _Pseudarachniodes_.",PASSED
93,Sinking Arthrobotrya into Teratophyllum (Dryopteridaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/93,2024-10-17T15:02:57Z,zzyzzyzyhc,closed,Arthrobotrya,Genus,2,_Arthrobotrya_ was a small genus in PPG I that used to be treated as a synonym of _Teratophyllum_. Recent study showed that both the molecular phylogeny and morphological characteristics evidences support treating _Arthrobotrya_ as a synonym for _Teratophyllum_.,PASSED
92,"Recognize seven subfamilies of Dryopteridaceae: Dryopteridoideae, Ctenitidoideae, Elaphoglossoideae, Lastreopsidoideae, Pleocnemioideae, Polybotryoideae, Polystichopsidoideae [PASSED]",https://github.com/pteridogroup/ppg/issues/92,2024-10-16T12:29:52Z,zzyzzyzyhc,closed,"Dryopteridoideae, Ctenitidoideae, Elaphoglossoideae, Lastreopsidoideae, Pleocnemioideae, Polybotryoideae, Polystichopsidoideae",Subfamily,ca. 2100,"The three-subfamily classification of Dryopteridaceae in PPG I was based primarily on weak molecular phylogenetic relationships and lacked morphological evidence. We presented an updated infra-familial classification of Dryopteridaceae with seven subfamilies  including four newly proposed subfamilies (Ctenitoideae, Lastreopsidoideae, Pleocnemioideae, and Polystichopsidoideae). The four proposed subfamilies are quite distinct in morphology and phylogenetic evidence.",PASSED
87,Sinking Rhizoglossum into Ophioglossum (Ophioglossaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/87,2024-07-31T22:43:52Z,choess,closed,Rhizoglossum,Genus,1,_Rhizoglossum_ was recognized by PPG I but has recently been shown to be accepted in _Ophioglossum_ s.l. and should be sunk there to maintain the monophyly of that genus.,PASSED
86,Recognition of Adiantoideae (Pteridaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/86,2024-07-31T22:23:49Z,choess,closed,Adiantoideae,Subfamily,c. 250,"The subfamily Adiantoideae, containing the single genus _Adiantum_, is recognized as distinct from subfamily Vittarioideae, containing the other 11 genera placed in that family in PPG I. The two proposed subfamilies (Adiantoideae and Vittarioideae s.s.) are quite distinct in morphology and phylogenetic evidence now exists to show that both are monophyletic.",PASSED
85,"Proposal to recognize Aenigmatogrammitis, Boonkerdia, Grammitastrum, Howeogrammitis, Nanogrammitis, Oxygrammitis, Rouhania, and Thalassogrammitis (Grammitidoideae, Polypodiaceae) [PASSED]",https://github.com/pteridogroup/ppg/issues/85,2024-07-20T13:41:05Z,msundue,closed,"Aenigmatogrammitis, Boonkerdia, Grammitastrum, Howeogrammitis, Nanogrammitis, Oxygrammitis, Rouhania, Thalassogrammitis",Genus,25,"**Proposal to recognize Aenigmatogrammitis, Boonkerdia, Grammitastrum, Howeogrammitis, Nanogrammitis, Oxygrammitis, Rouhania, and Thalassogrammitis**",PASSED
82,Submersion of Homalosorus into Diplaziopsis [PASSED],https://github.com/pteridogroup/ppg/issues/82,2024-05-30T05:33:02Z,choess,closed,"Homalosorus, Diplaziopsis",Genus,4,The genus _Homalosorus_ Pic.-Serm. is subsumed into an expanded _Diplaziopsis_ C.Chr. to provide a circumscription stable against future evidence about the placement of _D. flavoviridis_. A diagnosis for the new genus is provided as it is neither identical with that from PPG I nor with the circumscription of M.G. Price.,PASSED
81,"Recognize Selliguea s.l. including Arthromeris, Gymnogrammitis, Himalayopteris, Paraselliguea, Phymatopteris, Pichisermollodes, Polypodiopteris, and Selliguea [NOT PASSED]",https://github.com/pteridogroup/ppg/issues/81,2024-05-06T09:02:26Z,joelnitta,closed,"Selliguea, Arthromeris, Gymnogrammitis, Himalayopteris, Paraselliguea, Phymatopteris, Pichisermollodes, Polypodiopteris",Genus,80-100,"This proposal places all members of Selligueoids including _Arthromeris_ (T.Moore) J.Sm., _Gymnogrammitis_ Griff., _Himalayopteris_ W.Shao & S.G.Lu, _Paraselliguea_ Hovenkamp, _Phymatopteris_ Pic.Serm., _Pichisermollodes_ Fraser-Jenk. and _Polypodiopteris_ C.F.Reed into synonymy with _Selliguea_ Bory. ",NOT PASSED
80,Recognition of Gymnosphaera (Cyatheaceae) as a distinct genus [PASSED],https://github.com/pteridogroup/ppg/issues/80,2024-04-16T01:13:56Z,dongshiyong,closed,Gymnosphaera,Genus,46,"_Gymnosphaera_ was originally established as a genus by Blume (1828) to accommodate two tree ferns from Java, Indonesia with naked sori and globular receptacles. It was emended by Copeland (1947) to contain tree ferns characterized by dark axes and exindusiate sori which were dorsal on simple veinlets. Holttum (1963) argued to adopt only one genus, _Cyathea_ Smith, to contain all Malaysian species and proposed a subdivision of _Cyathea_ into two subgenera, with each containing two sections. _Gymnosphaera_ was treated as a section under _C._ subgen. _Cyathea_ and was circumscribed as “stipe-scales flabelloid, sori indusiate, axes very dark, and fertile and sterile pinnules usually very dimorphous” (Holttum 1963). In modern classifications of Cyatheaceae, _Gymnosphaera_ was considered as either a separate genus (e.g., Smith et al. 2006) or a synonym of _Alsophila_ R.Br. (e.g., PPG I 2016). Molecular data, however, strongly supported _Gymnosphaera_ to be a distinct group from _Alsophila_ (Korall et al. 2007, Korall & Pryer 2014, Dong & Zuo 2018, Dong et al., 2019, Loiseau et al. 2020). Based on the remarkable divergence from _Alsophila_ in molecular phylogeny, morphology, and sporogenetic mechanism, Dong and Zuo (2018) reinstated _Gymnosphaera_ was as a distinct genus. There are about 46 species known in the genus _Gymnosphaera_ across the Pantropics (Hassler 2004–2023).",PASSED
76,Recognition of Lycopodiastroideae (Lycopodiaceae) [NOT PASSED],https://github.com/pteridogroup/ppg/issues/76,2024-02-14T07:09:06Z,gonggashan88,closed,Lycopodiastroideae,Subfamily,1,"Recognition of Lycopodiastroideae to accommodate _Lycopodiastrum_ with unique morphology, spore ornamentation, and deep divergence from its relatives.",NOT PASSED
75,Resurrection of Huperziaceae (Lycopodiales) [NOT PASSED],https://github.com/pteridogroup/ppg/issues/75,2024-02-14T06:42:08Z,gonggashan88,closed,Huperziaceae,Family,280,Recognition of two families in Lycopodiales: Huperziaceae and Lycopodiaceae s.s. This resurrection won't change any names of species or genera. ,NOT PASSED
74,Recognition of ×Woodsimatium (Woodsiaceae) [NOT PASSED],https://github.com/pteridogroup/ppg/issues/74,2024-02-13T17:35:58Z,gonggashan88,closed,×Woodsimatium,Genus,1,Transfer of one hybrid from _Woodsia_ to _×Woodsimatium_.,NOT PASSED
73,Recognition of the old genus Physematium (Woodsiaceae) [NOT PASSED],https://github.com/pteridogroup/ppg/issues/73,2024-02-13T16:59:26Z,gonggashan88,closed,Physematium,Genus,28,"Reinstatement of Physematium (1829) in Woodsiaceae to reflect the deep divergence in the phylogeny, morphological diagnosability, and geographical differentiation.",NOT PASSED
72,"Recognition of Calligrammitis, Devolia, and Glabrigrammitis, segregates of Oreogrammitis s.l. (Grammitidoideae; Polypodiaceae) [PASSED]",https://github.com/pteridogroup/ppg/issues/72,2024-02-12T21:50:35Z,gonggashan88,closed,"Calligrammitis, Devolia, Glabrigrammitis",Genus,5,"To maintain the monophyly of Oreogrammitis, three new genera, Calligrammitis, Devolia, and Glabrigrammitis have been proposed to accommodate the three clades outside of the core group of Oreogrammitis.",PASSED
71,recognition of xApseudathyrium and xCornoathyrium [PASSED],https://github.com/pteridogroup/ppg/issues/71,2024-01-26T04:04:48Z,crothfels,closed,"xApseudathyrium, xCornoathyrium",Nothogenus,4,Recognize the two nothogenera: xApseudathyrium (Athyrium x Pseudathyrium) and xCornoathyrium (Athyrium x Cornopteris).,PASSED
69,"Recognition of Goswamia, Haukia, and Whittieria, segregates of Ophioglossum s.l. [NOT PASSED]",https://github.com/pteridogroup/ppg/issues/69,2024-01-02T20:55:07Z,gonggashan88,closed,"Goswamia, Haukia, Whittieria",Genus,20,"Ophioglossum s.l. (PPG I, 2016) is split into Ophioglossum s.s., Goswamia, Haukia, and Whittieria.",NOT PASSED
68,Recognition of Arthropteridaceae and Pteridryaceae (Polypodiineae) [PASSED],https://github.com/pteridogroup/ppg/issues/68,2023-12-29T07:07:15Z,gonggashan88,closed,"Arthropteridaceae, Pteridryaceae",Family,50,"Resurrection of Arthropteridaceae (2014); Recognition of Pteridryaceae (2018). Both are separated from Tectariaceae s.l. (""Aspidiaceae"")",PASSED
67,Resurrection of Polydictyum from a synonym of Tectaria [PASSED],https://github.com/pteridogroup/ppg/issues/67,2023-12-29T06:01:23Z,gonggashan88,closed,Polydictyum ,Genus,5,Resurrection of _Polydictyum_ C.Presl (1851) from a synonym of _Tectaria_ Cav. (1799).,PASSED
66,Recognition of Hovenkampia segregated from Pyrrosia s.l. (Polypodiaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/66,2023-12-29T05:20:31Z,gonggashan88,closed,Hovenkampia,Genus,3,Hovenkampia has been segregated from Pyrrosia. The new genus is in honor of the late Professor Peter Hovenkamp.,PASSED
65,Additionally recognizing the genus Microschizaea in the family Schizaeaceae. [PASSED],https://github.com/pteridogroup/ppg/issues/65,2023-12-26T09:35:23Z,lykuofern,closed,Microschizaea,Genus,7,Additionally recognizing _Microschizaea_ in the family Schizaeaceae.,PASSED
64,"Recognition of Gastoniella (Pteridoideae, Pteridaceae) [PASSED]",https://github.com/pteridogroup/ppg/issues/64,2023-12-01T02:21:09Z,liangfern,closed,Gastoniella,Genus,3,"Zhang et al . (2017) resolved the subfamily Pteridoideae into four strongly supported monophyletic clades: the _Pteris_ clade, the _Actiniopteris_ + _Onychium_ clade, the JAPSTT clade (_Jamesonia_, _Austrogramme_, _Pterozonium_, _Syngramma_, _Taenitis_, _Tryonia_), and the GAPCC (_Gastoniella_, _Anogramma_, _Pityrogramma_, _Cerosora_, _Cosentinia_) clade. Within the GAPCC clade, _Gastoniella_ is proposed as a new genus segregated from _Anogramma_ in order to maintain monophyletic _Anogramma_ s.s. and _Pityrogramma_ s.s. ",PASSED
62,Recircumscription of Dennstaedtia to include Leptolepia and Oenotrichia [PASSED],https://github.com/pteridogroup/ppg/issues/62,2023-11-27T12:38:18Z,msundue,closed,"Dennstaedtia, Leptolepia, Oenotrichia",Genus,2,"This proposal places the small genera _Leptolepia_ and _Oenotrichia_ into synonymy with _Dennstaedtia_. These genera were originally proposed to house species considered morphologically aberrant from other Dennstaedtiaceae. However, molecular phylogenetic results place these genera within the concept of _Dennstaedtia_ (sensu Triana et al. 2023), and the morphology of these species is now understood to be in line with the variation exhibited by other Dennstaedtiaceae. Species residing in these genera were resolved as sister in Triana et al. (2023). Combinations in _Dennstaedtia_ are available for affected species. ",PASSED
61,Recognition of Leptogramma as a segregate of Stegnogramma (Thelypteridoideae; Thelypteridaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/61,2023-11-19T06:15:57Z,susanfawcett,closed,Leptogramma,Genus,29,"In light of the morphological differences between the _Stegnogramma_ and _Leptogramma_ clades, we follow Kuo et al. (2019), in recognizing _Leptogramma_ as a distinct genus (Fawcett et al. 2021). _Leptogramma_ is distinguished from its sister genus _Stegnogramma_ by veins free, or if anastomosing, only one or two pairs united below the sinus between adjacent lateral veins (vs. usually three or more), and by the presence of long multicellular hairs on rachises. ",PASSED
60,Recognition of Strophocaulon as a segregate of Sphaerostephanos (Thelypteridoideae; Thelypteridaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/60,2023-11-19T06:06:22Z,susanfawcett,closed,Strophocaulon,Genus,2,Two species of _Sphaerostephanos_ are transferred to the genus _Strophocaulon_ S.E. Fawc. & A.R. Sm.,PASSED
59,Submersion of Parathelypteris into Amauropelta s.l. and Coryphopteris (Thelypteridoideae; Thelypteridaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/59,2023-11-19T06:00:29Z,susanfawcett,closed,"Parathelypteris, Amauropelta, Coryphopteris",Genus,15,"Some species of _Parathelypteris_ sensu PPG I were resolved among members of _Coryphopteris_ and were transferred to that genus (Fawcett and Smith 2021), while others, including the type species, _A. glanduligera_, resolved with the _Amauropelta_ clade and were transferred to _Amauropelta_ by Y.H. Chang (Kuo et al. 2019). This circumscription was adopted by Fawcett and Smith (2021), who recognized four subgenera within _Amauropelta_. ",PASSED
58,Recognition of Pelazoneuron as a segregate of Christella (Thelypteridoideae; Thelypteridaceae) [PASSED],https://github.com/pteridogroup/ppg/issues/58,2023-11-19T05:48:45Z,susanfawcett,closed,Pelazoneuron,Genus,16,"_Pelazoneuron_ (Holttum) A.R. Sm. & S.E. Fawc. is recognized at genus rank for a monophyletic clade of 16 North and South American species previously recognized as _Christella_, but distantly related to the type species of _Christella_ (Smith 1971). _Pelazoneuron_ was named as a section of _Christella_ by Holttum (1974), based on the type species Holttum designated, and which we recognize as _Pelazoneuron patens._",PASSED
57,"Recircumscription of Pneumatopteris, and recognition of segregate genera Hoiokula, Pakau, and Reholttumia (Thelypteridoideae; Thelypteridaceae) [PASSED]",https://github.com/pteridogroup/ppg/issues/57,2023-11-19T05:40:21Z,susanfawcett,closed,"Pneumatopteris, Hoiokula, Pakau, Reholttumia",Genus,34,"_Pneumatopteris_ as recognized by Holttum (1982) and PPG I is highly polyphyletic, with its species resolving in 10 distinct clades (Fawcett et al. 2021). The proposal redefines _Pneumatopteris_ in a narrower sense and recognizes three segregate genera.",PASSED
56,"Recircumscription of Pronephrium to include Nannothelypteris, and recognition of segregate genera Abacopteris, Grypothrix and Menisciopsis (Thelypteridoideae; Thelypteridaceae) [PASSED]",https://github.com/pteridogroup/ppg/issues/56,2023-11-19T05:18:47Z,susanfawcett,closed,"Pronephrium, Nannothelypteris, Abacopteris, Grypothrix, Menisciopsis",Genus,39,We propose to include Nannothelypteris as a synonym of _Pronephrium_ s.l.; to resurrect _Abacopteris_; and to elevate _Menisciopsis_ and _Grypothrix_ to rank of genus with the circumscription proposed by Fawcett and Smith (2021).,PASSED
55,Recognize xDryostichum [PASSED],https://github.com/pteridogroup/ppg/issues/55,2023-11-18T20:36:30Z,crothfels,closed,xDryostichum,Nothogenus,1,"Recognition of the nothogenus _xDryostichum_ W.H.Wagner, to accommodate hybrids between _Dryopteris_ and _Polystichum_.",PASSED
52,Priority of Crypsinoideae over Drynarioideae and inclusion of Synammia [PASSED],https://github.com/pteridogroup/ppg/issues/52,2023-10-31T18:00:15Z,choess,closed,Crypsinoideae,Subfamily,160,"The subfamilial name Crypsinoideae B.K.Nayar (based on _Crypsinus_ C.Presl) was published in 1970 and should be used in preference to Drynarioideae Crabbe, Jermy & Mickel (based on _Drynaria_ (Bory) J.Sm.), published in 1975. Furthermore, _Synammia_, _incertae sedis_ in PPG I, should be placed within this subfamily.",PASSED
51,Conservation of Drynaria over Aglaomorpha [PASSED],https://github.com/pteridogroup/ppg/issues/51,2023-10-31T16:16:33Z,choess,closed,Drynaria,Genus,33,The genus _Drynaria_ (Bory) J.Sm. has been conserved against _Aglaomorpha_ Schott. The latter was used by PPG I; the PPG II classification should be updated to reflect this nomenclatural act.,PASSED
50,"Rescue of Cornopteris (Athyriaceae, Polypodiopsida) [PASSED]",https://github.com/pteridogroup/ppg/issues/50,2023-10-30T21:03:37Z,juliah3,closed,Cornopteris,Genus,13,Resurrection of _Cornopteris_ Nakai (treated within Athyrium in PPG I),PASSED
49,Recognize Baja (segregated from Cheilanthes) [PASSED],https://github.com/pteridogroup/ppg/issues/49,2023-10-17T02:06:00Z,crothfels,closed,Baja,Genus,1,Transfer the species long known as _Cheilanthes brandegeei_ D.C. Eaton to the (monotypic) genus _Baja_.,PASSED
48,Transfer Dryopolystichum from Dryopteridaceae to Lomariopsidaceae [PASSED],https://github.com/pteridogroup/ppg/issues/48,2023-09-27T03:13:00Z,joelnitta,closed,Dryopolystichum,Genus,1,Transfers _Dryopolystichum_ from Dryopteridaceae to Lomariopsidaceae,PASSED
47,"Recognize Lepisorus sensu lato (Polypodiaceae), by including Ellipinema, Lemmaphyllum, Paragramma, Neocheiropteris, Neolepisorus, Tricholepidium, and Lepidomicrosorium [PASSED]",https://github.com/pteridogroup/ppg/issues/47,2023-09-22T04:36:25Z,weiran007,closed,Lepisorus,Genus,_No response_,Lumping Lepisorus and its allied genera to keep them as a monophyletic group.,PASSED
46,Recognition of Ellipinema (Polypodiaceae) and rejection of synonymization of 6 well-established genera with Lepisorus [NOT PASSED],https://github.com/pteridogroup/ppg/issues/46,2023-09-19T20:49:20Z,gonggashan88,closed,"Ellipinema, Lemmaphyllum, Lepidomicrosorium, Lepisorus, Neocheiropteris, Neolepisorus, Paragramma, Tricholepidium",Genus,40,"A new genus, Ellipinema, was described by Zhang et al. (2020) to accommodate one newly sampled species with a surprising phylogenetic position so that the 6 Old World well-established genera and the species names under them can continue to be used.",NOT PASSED
44,Recognition of Dipteridales and Matoniales [NOT PASSED],https://github.com/pteridogroup/ppg/issues/44,2023-08-31T15:32:07Z,jessiepelosi,closed,"Dipteridales, Matoniales ",Order,"15 spp. (Dipteridaceae: 11 spp, 2 genera, Matoniaceae: 4 spp, 2 genera)",Recognition of Dipteridales (Dipterdiaceae including Dipteris and Cheiropleuria) and Matoniales (Matoniaceae including Matonia and Phanerosorus). ,NOT PASSED
42,Recovery of Choristosoria  (Pteridaceae) [NOT PASSED],https://github.com/pteridogroup/ppg/issues/42,2023-08-23T21:45:57Z,MoniPonce,closed,Choristosoria,Genus,Eight,"Eight species from Africa and Madagascar, usually assigned to _Cheilanthes_ s.l. or _Pellaea_ s.l., would correspond to the monotypic paleotropical genus _Choristosoria_ Mett. ex Kuhn, 1879",NOT PASSED
41,Recovery of Pellaeopsis (Pteridaceae) [NOT PASSED],https://github.com/pteridogroup/ppg/issues/41,2023-08-23T21:36:32Z,MoniPonce,closed,Pellaeopsis,Genus,Ten,"Ten species from Africa and Madagascar, usually assigned to _Cheilanthes_ s.l., _Doryopteris_ s.l. and _Pellaea_ s.l., would correspond to _Pellaeopsis_ J. Sm. (1875), an ancient paleotropical genus that need to be recovered and redefined.",NOT PASSED
